Abbr,Year,Updated Date,Paper URL,Website URL,Challenge Tag,Sub-Challeng Tag,How to Solve,Training Type,Dataset,Evaluation
"ProgressVLA",2026-03-29,2026-04-08,"https://arxiv.org/pdf/2603.27670","-","Multi-Modal Fusion and Physical World Representation;From Complex Instructions to Robust and Real-Time Execution;Generalization and Adaptation for Continuous Learning","From 2D Images to Spatial Temporal Representations;Dynamic and Predictive World Models;Hierarchical Planning and Task Decomposition","Pretrain a vision-language progress estimator on large-scale video-text robotic datasets using DINOv2 features to encode spatial-temporal representations and build an inverse dynamics world model to predict future latent states;Use classifier guidance in latent action space to steer diffusion sampling toward higher progress and reduce completion steps while maintaining task hierarchy;Perform zero-shot generalization to real-world scenarios and online RL finetuning with progress-based monotonicity loss to improve robustness","BC and Predictive Modeling and RL","OXE;LIBERO;CALVIN;Real-World","CALVIN;LIBERO;Real-World"
HEX, 2026-04-09, 2026-04-13, https://arxiv.org/pdf/2604.07993, https://hex-humanoid.github.io/, From Complex Instructions to Robust and Real-Time Execution;Generalization and Adaptation for Continuous Learning, Real-Time Execution and Computing Efficiency;Open-World Generalization, Employ a residual-gated fusion mechanism with flow-matching action head to integrate visual-language cues with proprioceptive dynamics for real-time stable action generation;Introduce a humanoid-aligned universal state representation for scalable cross-embodiment learning, BC and Predictive Modeling, -, Pose Mimic;Pouring;Box Carry;Kneel Pick
ViVa,2026-04-09,2026-04-13,https://arxiv.org/pdf/2604.08168,https://viva-value-model.github.io/,Multi-Modal Fusion and Physical World Representation;Generalization and Adaptation for Continuous Learning,Dynamic and Predictive World Models;Online Interaction and Reinforcement Learning,Repurposes a pretrained video generator to jointly predict future proprioception and scalar value;Integrates the value model into reinforcement learning for robot manipulation,Predictive Modeling and RL,-,-
EgoVerse,2026-04-08,2026-04-13,https://arxiv.org/pdf/2604.07607,-,Dataset Construction and Benchmarking Standards;Generalization and Adaptation for Continuous Learning,Multi-Source Heterogeneous Data;Open-World Generalization,Introduce a collaborative platform with standardized egocentric human data collection;Conduct systematic study of cross-embodiment transfer with co-training across multiple labs and robot embodiments,BC,EgoVerse-A;EgoVerse-I,object-in-container;cup-on-saucer;bag-grocery
HY-Embodied,2026-04-08,2026-04-13,https://arxiv.org/pdf/2604.07430,https://github.com/Tencent-Hunyuan/HY-Embodied,Embodied Intelligence and Robot Foundation Models,"Multi-Modal Fusion and Physical World Representation;From Complex Instructions to Robust and Real-Time Execution;The GAP between Semantics Perception and Physical Interaction;From 2D Images to Spatial Temporal Representations;Hierarchical Planning and Task Decomposition;Real-Time Execution and Computing Efficiency","Adopt Mixture-of-Transformers architecture with native-resolution Vision Transformer and visual latent tokens to enable modality-specific computing and enhance fine-grained spatial and temporal perception;Translate complex natural-language instructions into robust executable actions;Bridge semantic perception and physical interaction through unified perception-action alignment;Build spatial-temporal representations from 2D observations for robust world modeling;Use hierarchical planning and task decomposition with iterative refinement;Deploy an efficient 2B model for edge devices and improve real-time execution via iterative self-evolving RL post-training","BC and RL and Predictive Modeling","UMI;Real Robot Data;General Understanding Data;Spatial Robotics Data","ERQA;EmbSpatial-Bench;RoboBench-MCQ;RoboBench-Planning;Real Robot Tasks"
VAG,2026-04-10,2026-04-20,https://arxiv.org/pdf/2604.09330,-,Dataset Construction and Benchmarking Standards;Multi-Modal Fusion and Physical World Representation,Multi-Source Heterogeneous Data;Dynamic and Predictive World Models,Generate synthetic video-action pairs using dual-stream flow-matching framework trained on teleoperated trajectories;Jointly predict video and action with synchronized denoising and adaptive 3D pooling mechanism,BC and Predictive Modeling,AgiBot,AgiBot;LIBERO
A1,2026-04-16,2026-04-20,https://arxiv.org/pdf/2604.05672,http://www.ateam.xin/#/research/A1,From Complex Instructions to Robust and Real-Time Execution;Multi-Modal Fusion and Physical World Representation,Real-Time Execution and Computing Efficiency;The GAP between Semantics Perception and Physical Interaction,Monitor action consistency across layers for early termination and use Inter-Layer Truncated Flow Matching for warm-start denoising;Leverage pretrained VLM with implicit affordance priors for action generation,BC,DROID;AgiBot;LIBERO;VLABench,LIBERO;VLABench;RoboChallenge
HazardArena,2026-04-14,2026-04-20,https://arxiv.org/pdf/2604.12447,-,Security Interpretability and Reliable Interaction;Dataset Construction and Benchmarking Standards,Reliability and Safety Assurance;Evaluation and Benchmark,Introduce HazardArena benchmark to evaluate semantic safety in VLAs under controlled yet risk-bearing contexts;Propose a training-free Safety Option Layer constraining action execution using semantic attributes or a vision–language judge,BC,HazardArena;SAFE-only demonstrations,HazardArena
HRDexDB,2026-04-16,2026-04-20,"https://arxiv.org/pdf/2604.14944","https://snuvclab.github.io/HRDexDB/","Dataset Construction and Benchmarking Standards;Multi-Modal Fusion and Physical World Representation","Multi-Source Heterogeneous Data;Evaluation and Benchmark;From 2D Images to Spatial Temporal Representations","Presents a large-scale multi-modal dataset of high-fidelity dexterous grasping sequences featuring both human and diverse robotic hands across 100 objects with synchronized modalities;Defines a standardized evaluation and benchmarking setup for dexterous grasping performance;Leverages state-of-the-art vision methods and a dedicated multi-camera system to provide high-precision spatiotemporal 3D ground-truth motion for both the agent and manipulated object","-","HRDexDB","-"
ResVLA,2026-04-24,2026-04-27,https://arxiv.org/pdf/2604.21391,https://res-vla.github.io/ResVLA/,Multi-Modal Fusion and Physical World Representation;From Complex Instructions to Robust and Real-Time Execution,The GAP between Semantics Perception and Physical Interaction;Real-Time Execution and Computing Efficiency,Decompose action via spectral analysis into deterministic low-frequency intent anchor and stochastic high-frequency residual to bridge semantic and physical scales;Establish short-path residual diffusion bridge from intent anchor to reduce function evaluations and accelerate convergence while maintaining robustness,BC and Predictive Modeling,LIBERO;LIBERO-Plus;Fractal20220817;BridgeData V2,LIBERO;LIBERO-Plus;SimplerEnv;ALOHA
LARY, 2026-04-13, 2026-04-27, https://arxiv.org/pdf/2604.11689, https://meituan-longcat.github.io/LARYBench, Dataset Construction and Benchmarking Standards;Multi-Modal Fusion and Physical World Representation, Evaluation and Benchmark;The GAP between Semantics Perception and Physical Interaction, Introduce the Latent Action Representation Yielding Benchmark as a unified framework for evaluating latent action representations on both high-level semantic actions and low-level robotic control;Transform visual signals into ontology-independent representations known as latent actions, -, LIBERO;EgoDex;SSv2;Ego4D;HoloAssist;EPIC-KITCHENS;TACO;AgiBotWorld;CALVIN;RoboCOIN;VLABench, LARYBench;LIBERO;CALVIN;RoboCOIN;VLABench;AgiBotWorld
π0.7,2026-04-16,2026-04-27,https://arxiv.org/pdf/2604.15483,https://pi.website/pi07,Multi-Modal Fusion and Physical World Representation;From Complex Instructions to Robust and Real-Time Execution;Generalization and Adaptation for Continuous Learning,Dynamic and Predictive World Models;Hierarchical Planning and Task Decomposition;Open-World Generalization,Augment VLA policy with subgoal images from a flow-matching world model and episode metadata to steer behavior;Leverage hierarchical planning via visual subgoals and detailed language for task decomposition;Train on heterogeneous demonstrations autonomous data and non-robot web videos with context annotations for cross-embodiment transfer,BC and RL and Predictive Modeling,Demonstration Data;Autonomous Data;Open-Source Robot Datasets;Egocentric Human Videos;Multimodal Web Data,Espresso Making;Box Building;Laundry Folding;Vegetable Peeling;Trash Tasks;Air Fryer Tasks;Cross-Embodiment Tasks;Robot Olympics
OmniVLA-RL,2026-04-21,2026-04-27,https://arxiv.org/pdf/2604.17706,-,Multi-Modal Fusion and Physical World Representation;Generalization and Adaptation for Continuous Learning,From 2D Images to Spatial Temporal Representations;Online Interaction and Reinforcement Learning,Leverages a Mix-of-Transformers design to synergistically integrate spatial experts;Reformulates flow matching as a Stochastic Differential Equation process and integrates it with Group Segmented Policy Optimization,RL and BC,LIBERO,LIBERO;LIBERO-Plus
BeTTER,2026-04-20,2026-04-27,https://arxiv.org/pdf/2604.18000,https://research.beingbeyond.com/better,Dataset Construction and Benchmarking Standards;Multi-Modal Fusion and Physical World Representation,Evaluation and Benchmark;The GAP between Semantics Perception and Physical Interaction,Introduces BeTTER applying targeted causal interventions to test true embodied reasoning;Exposes failures in state tracking and semantic grounding through systematic cognitive stress tests,-,-,BeTTER
